,industry_code,wage_change
19,Manufactured (Mobile) Home Dealers ,1905
18,Home and Garden Equipment Repair and Maintenance ,2195
17,"Sewing, Needlework, and Piece Goods Retailers ",2542
16,Wineries ,3123
15,Biological Product (except Diagnostic) Mfg ,3631
14,"Trusts, Estates, and Agency Accounts ",3984
13,RV (Recreational Vehicle) Parks and Campgrounds ,5294
12,Coastal and Great Lakes Freight Trans ,5404
11,Guided Missile and Space Vehicle Mfg ,7159
10,Totalizing Fluid Meter and Counting Device Mfg ,7572
9,Nonferrous Metal Die-Casting Foundries ,7901
8,Support Activities for Forestry,8636
7,Guided Missile and Space Vehicle Propulsion Unit a...,9698
6,Apprenticeship Training ,10201
5,Other Performing Arts Companies ,10476
4,"Frozen Fruit, Juice, and Vegetable Mfg ",10591
3,Motor and Generator Mfg ,17308
2,Administration of Education Programs ,23782
1,Semiconductor and Related Device Mfg ,24677
0,Nonupholstered Wood Household Furniture Mfg ,41679
